Restaurant_address,Restaurant_name,online_order,book_table,Rating,Votes,location,restaurant_type,dish_liked,cuisines,Cost_for_two_people,reviews_list,listed_in_type,listed_in_city
"28, 5Th Cross Rd, Maruti Nagar, 1St Stage, Btm, Bangalore",Bruncherz,No,No,3.5,15,BTM,Quick Bites,Not available,"North Indian, Chinese",200,Good Food and Service,Delivery,Frazer Town
"57, 8Th A Main, 1St Stage, Btm, Bangalore",Snaxup Restaurant,No,No,3.5,31,BTM,Quick Bites,Not available,"North Indian, Fast Food, Beverages",300,Good Food and Service,Delivery,Indiranagar
"321/34, Sheriff Complex, Opposite Total Mall, Madiwala, Btm, Bangalore",Hunger Buds,No,No,3.5,10,BTM,Quick Bites,Not available,North Indian,250,Good Food and Service,Delivery,Frazer Town
"107, 3Rd Cross Road, Bharathi Layout, Balaji Nagar, Suddagunte Palya, Btm, Bangalore",Tandoor-De-Naal,No,No,3.8,35,BTM,"Takeaway, Delivery","Rolls, Chicken Roll, Paneer Roll, Pasta",Fast Food,200,Good Food and Service,Delivery,Vasanth Nagar
"86,9Th Cross,Tavarekere, 1St Phase, Btm, Bangalore",Tummy Delight,No,No,3.5,15,BTM,Quick Bites,Not available,North Indian,400,Good Food and Service,Delivery,HSR
"104, 1St Cross, 20Th Main, Maruthi Nagar Main Road, 1St Stage, Btm, Bangalore",Amaravati Grand,No,No,3.4,7,BTM,Casual Dining,Not available,"Chinese, Andhra, Mangalorean",550,Average Experience,Delivery,Koramangala 3rd Block
"29Th Main Road, Btm Layout 2Nd Stage, Btm, Bangalore",New Farm Fresh,No,No,3.6,34,BTM,Quick Bites,Wood Fire Pizza,"Italian, Pizza",650,Good Food and Service,Delivery,Bommanahalli
"Davanam Sarovar Portico, 3Rd Floor, Total Mall, Btm, Bangalore",Pothichor,No,No,3.5,12,BTM,Quick Bites,Not available,Kerala,250,Good Food and Service,Delivery,HSR
"75/4, Maruthi Nagar Main Road, 1St Stage, Btm, Bangalore",Hyderabadi Biryani Corner,No,No,3.4,7,BTM,Quick Bites,Not available,"Hyderabadi, North Indian, Chinese",350,Average Experience,Delivery,HSR
"910, 9Th Cross, 16Th Main, 2Nd Stage, Btm, Bangalore",Amrutha Mess,No,No,3.4,5,BTM,Quick Bites,Not available,Kerala,300,Average Experience,Delivery,HSR
"Total Mall, Opposite Police Station, Madivala, Hosur Road",The French Loaf,No,No,3.1,31,BTM,Quick Bites,Not available,"Bakery, Desserts, Sandwich",400,Average Experience,Delivery,HSR
"84, St.Antony Fairy Church",Bhaijaan Barbeques,Yes,No,3.4,6,Koramangala 7th Block,Quick Bites,Not available,"Mughlai, Arabian, BBQ",200,Average Experience,Delivery,HSR
"688, Thanish Corner, 7Th Main, 10Th Cross, 2Nd Phase, Btm, Bangalore",Entropy Cafe,Yes,No,4.1,505,Koramangala 6th Block,Cafe,"Nachos, Biryani, Chaat, Pancakes, Pizza, Pasta, Burgers","Cafe, Chinese, Pizza, North Indian, Burger",600,Very Good Service,Delivery,HSR
"102, 8Th Main, Vyshya Bank Colony, Maruthi Layout, Btm Layout, Bangalore, Btm, Bangalore",Momo Hut,Yes,No,4,684,Koramangala 5th Block,Quick Bites,"Noodles, Beef Momos, Chicken Shaptra, Chicken Thukpa, Clear Soup, Beef Momo, Chicken Thupka","Chinese, Tibetan, Momos",250,Very Good Service,Delivery,HSR
"33, 20Th A Main, 13Th Cross, Venkateshwara Layout, 1St Stage, Btm, Bangalore",7 Plates,Yes,No,3.7,259,Koramangala 5th Block,Casual Dining,"Butter Kulcha, Rolls, Brownie, Mutton Biryani, Butter Chicken, Shawarma, Rumali Roti","Mughlai, Fast Food",750,Good Food and Service,Delivery,HSR
"26, 20Th Main 6Th Cross, Gangothri Circle, 1St Stage, Btm, Bangalore",Hyderabad Biriyani House,No,No,0,0,BTM,Quick Bites,Not available,Biryani,400,Needs Improvement,Delivery,HSR
"212, Aicobo Nagar, 1St Stage, Btm Layout, Btm, Bangalore",Bewiched,Yes,No,3.4,10,HSR,Quick Bites,Not available,"Fast Food, Sandwich, Burger",300,Average Experience,Delivery,Koramangala 1st Block
"Kolliyil, Kolliylhouse, Madiwala, Margi Nagar Street, Near El Silver, Btm, Bangalore",Daawat Restaurant Bar & Pub,Yes,No,3.5,9,Koramangala 7th Block,"Bar, Casual Dining",Not available,"Finger Food, North Indian, Seafood, Mangalorean, Chinese",700,Good Food and Service,Delivery,HSR
"31,32, Bhuvanappa Layout, 2Nd Cross, Opposite Forum Mall, Tavarakere Main Road",BelgYum,Yes,No,4,68,Koramangala 7th Block,Dessert Parlor,Waffles,Desserts,400,Very Good Service,Delivery,South Bangalore
"44/45, Hosur Road, Adugodi, Btm, Bangalore",Dine in Restaurant,No,No,3.4,7,BTM,Quick Bites,Not available,"South Indian, North Indian, Chinese",500,Average Experience,Delivery,HSR
"65, 60 Feet Rd, Keb Layout, Narayan Gowda Layout, 1St Stage, Btm Layout",Sri Sharana Basaveshwara Khanavali,No,No,0,0,BTM,Quick Bites,Not available,South Indian,200,Needs Improvement,Delivery,Koramangala 1st Block
"12, Near Christ College, Krishna Nagar, Industrial Layout, Hosur Road, Btm, Bangalore",Kombo King,No,No,0,0,BTM,Delivery,Not available,"North Indian, South Indian",300,Needs Improvement,Delivery,HSR
"248, Krishna Vaibhav Building, 6Th Main, 2Nd Stage, Btm, Bangalore",Top Foam Parantha Roll & Juice Centre,No,No,3.5,13,BTM,Quick Bites,Not available,"North Indian, Chinese, Fast Food, Rolls",300,Good Food and Service,Delivery,HSR
"931, Bhavani Sadana, 4Th Main Road, 1St Sector, 4Th Stage, Btm, Bangalore",Ambur Azad Darbar,No,No,3.2,6,BTM,Quick Bites,Not available,"North Indian, Fast Food, Biryani",250,Average Experience,Delivery,HSR
"69, 7Th Main Road, 2Nd Stage, Btm, Bangalore",Amravathi Restaurants & Caterers,No,No,3.1,6,BTM,Quick Bites,Not available,"North Indian, Chinese",400,Average Experience,Delivery,HSR
"6/21, 10Th Cross, 1St Main, Venkateshwara Layout, Sg Palya",Shawarma Bae,No,No,3.3,8,BTM,Quick Bites,Not available,"Beverages, Fast Food",200,Average Experience,Delivery,HSR
"9, Outer Ring Road, Kuvempu Nagar, Stage 2, Btm Layout, Bengaluru",Choco Monk,No,No,0,0,BTM,Delivery,Not available,Desserts,200,Needs Improvement,Delivery,HSR
"2B Block, Total Mall, Hosur Road, Madiwala",Brew Cafe,No,No,3.2,4,BTM,Quick Bites,Not available,Fast Food,300,Average Experience,Delivery,HSR
"800, Near Icici Bank, 7Th Cross, 15Th Main, 2Nd Stage, Btm, Bangalore",Watheen Nuts,No,No,0,0,BTM,"Takeaway, Delivery",Not available,Desserts,400,Needs Improvement,Delivery,Old Airport Road
"5, Aradhana Complex, Chocolate Factory Road, 1St Stage, Btm, Bangalore",Traffic,No,No,0,0,BTM,"Takeaway, Delivery",Not available,"Beverages, Burger, Fast Food",100,Needs Improvement,Delivery,Indiranagar
"Number 15-30, First Cross, Btm First Stage, Bangalore",Chutneys Tiffin Center,No,No,0,0,BTM,Quick Bites,Not available,"South Indian, Andhra, Chinese",300,Needs Improvement,Delivery,Indiranagar
"103, 1St Main, Maruthinagar, Madiwala, Btm, Bangalore",Five Star New Ambur Biryani,No,No,0,0,BTM,Quick Bites,Not available,"Biryani, North Indian, Kebab, Chinese",300,Needs Improvement,Delivery,Indiranagar
"Shop 943, 16Th Main Road, Mico Layout, 2Nd Stage, Btm, Bangalore",Fluffer Nutter,No,No,0,0,BTM,Quick Bites,Not available,Beverages,200,Needs Improvement,Delivery,Indiranagar
"1224, 17Th Main, 8Th Cross, Btm 1St Stage",Bhoja99,No,No,0,0,BTM,Quick Bites,Not available,North Indian,200,Needs Improvement,Delivery,Indiranagar
"1, Mico Layout, 7Th Main Road, Pushpa Layout, 2Nd Stage, Btm, Bangalore",UKIYO,No,No,0,0,BTM,"Beverage Shop, Quick Bites",Not available,"Beverages, Sandwich, Chinese",300,Needs Improvement,Delivery,Indiranagar
"15, 16Th Main Road, Keb Layout, Narayan Gowda Layout, Stage 2, Btm, Bangalore",Coal Grill & Cafe,No,No,3.3,8,BTM,Quick Bites,Not available,Arabian,300,Average Experience,Delivery,Indiranagar
"12Th Cross, 7Th Main, Btm 2Nd Stage, Bangalore, Btm, Bangalore",Murali Military hotel,No,No,0,0,BTM,Quick Bites,Not available,"Biryani, South Indian",300,Needs Improvement,Delivery,Indiranagar
"6/4, Hongasandra Bus Stop, Begur Main Road, Btm, Bangalore",Hyderabadi Biryani House,No,No,0,0,BTM,Quick Bites,Not available,Biryani,300,Needs Improvement,Delivery,Indiranagar
"Total Mall (Jumbo Mall) Madivala Commercial Plaza, Hosur Road - Sarjapur Junction",Chai Makhan,No,No,0,0,BTM,Quick Bites,Not available,"Arabian, South Indian",400,Needs Improvement,Delivery,Indiranagar
"90, 1St Main Road, Vysya Bank Colony, Mico Layout, Btm, Bangalore",Cafe Sulaimani,No,No,0,0,BTM,Quick Bites,Not available,"Kerala, South Indian, Biryani",300,Needs Improvement,Delivery,Indiranagar
"Opposite Life Care Hospital, 20Th Main, 7Th, Cross, Btm, Bangalore",Chocolate Bomb,No,No,0,0,BTM,Bakery,Not available,Bakery,300,Needs Improvement,Delivery,Indiranagar
"931, 2Nd Stage, 4Th Cross Road, Btm",Tit Bits,No,No,0,0,BTM,Quick Bites,Not available,"North Indian, Fast Food",400,Needs Improvement,Delivery,Indiranagar
"20Th, Maruthi Nagar Main Road, 1St Stage",Desi Urbane,No,No,3.6,108,BTM,Quick Bites,Not available,"North Indian, Chinese, Biryani",450,Good Food and Service,Delivery,Indiranagar
"317/373, 1St Stage, Gangothri Circle, Maruthi Nagar",Rayalaseema Abhiruchulu,No,No,0,0,BTM,Quick Bites,Not available,"North Indian, South Indian, Chinese",250,Needs Improvement,Delivery,Indiranagar
"1St Main Road, Zuzuvadi, Madiwala, 1St Stage, Btm, Bangalore",GR Foods,Yes,No,0,0,BTM,Quick Bites,Not available,"Andhra, Biryani",350,Needs Improvement,Delivery,Indiranagar
"5, 1St Main Road, Buvannapa Layout, Kaveri Layout, Suddagunte Palya, Bengaluru",New Udupi Dharshini,No,No,0,0,BTM,Quick Bites,Not available,"South Indian, Chinese",150,Needs Improvement,Delivery,Indiranagar
"5, Opposite Sandhya Talkies, Old Madiwala Road, Btm, Bangalore",Ice N Spice,No,No,0,0,BTM,Quick Bites,Not available,"Ice Cream, Beverages, Fast Food",300,Needs Improvement,Delivery,Indiranagar
"82, Tavarekere Main Road",Svadu Sweets,No,No,3.3,5,BTM,"Quick Bites, Sweet Shop",Not available,"Street Food, Mithai",150,Average Experience,Delivery,Indiranagar
"4&5, 1St Main, Old Post Office Road, Opposite St. Mary Ladies Hotel, Maruthi Nagar Main Road, Btm, Bangalore",La Mirch,No,No,0,0,BTM,Delivery,Not available,"North Indian, Kashmiri",400,Needs Improvement,Delivery,Indiranagar
"7Th A Cross, 60Th Feet Road, 20Th Main, Near Gangotri Circle, Btm, Bangalore",The Fresh Wok,No,No,3.3,10,BTM,"Takeaway, Delivery",Not available,Asian,600,Average Experience,Delivery,Indiranagar
"75/4, Maruthi Nagar Main Road, 1St Stage",TRIGEREATO,Yes,Yes,4.4,100,Koramangala 8th Block,Cafe,"Pasta, Salad, Noodles, Mousse, Fries, Mocktails, Pizza","Cafe, Continental, Beverages",700,Very Good Service,Delivery,Indiranagar
"Vega City Mall, 3Rd Floor Srinivas Industrial Estate Bilekahalli, Btm, Bangalore",Night Cafe,No,No,3,44,BTM,"Takeaway, Delivery",Not available,"North Indian, Chinese, Fast Food",350,Average Experience,Delivery,Indiranagar
"13, Near Christ College, Hosur Road",The Enav Bowl,No,No,3.8,20,Koramangala 5th Block,Quick Bites,Not available,"Healthy Food, Beverages, Mexican, Burger, Italian",300,Good Food and Service,Delivery,Indiranagar
"13, Ground Floor, 4Th Main, S.G.Palaya, Tavarekere Main Road, Btm, Bangalore",Savandh's Kitchen - Donne Biryani,No,No,0,0,BTM,Quick Bites,Not available,"Biryani, South Indian",350,Needs Improvement,Delivery,Jeevan Bhima Nagar
"12/11, Opposite Sbm Bank, 20Th Main, 100 Feet Road",late100,No,No,0,0,BTM,Delivery,Not available,"North Indian, Kebab",200,Needs Improvement,Delivery,Indiranagar
"172, 13Th Cross, 16Th Main Road, Near Tavarekere Bus Stop, Btm, Bangalore",Y Not Shawarma,No,No,0,0,BTM,Quick Bites,Not available,Arabian,300,Needs Improvement,Delivery,Jeevan Bhima Nagar
"Sri Lakshmi, 29Th Main Road, 2Nd Stage, Btm, Bangalore",Foodies Club,Yes,No,3.4,5,BTM,Quick Bites,Not available,"South Indian, Chinese, North Indian, Sandwich, Rolls",300,Average Experience,Delivery,Indiranagar
"39,1St Cross N.S Palya, Btm, Bangalore",Homifoo,No,No,0,0,BTM,Quick Bites,Not available,North Indian,300,Needs Improvement,Delivery,Indiranagar
"Near Christ University, Venkateshwara Layout, Btm, Bangalore",Deepam Tiffins,No,No,0,0,BTM,Quick Bites,Not available,"South Indian, North Indian, Chinese",300,Needs Improvement,Delivery,Old Airport Road
"Near Ayappa Temple, Maruthi Nagar Main Road, Zuzuvadi, Madiwala, 1St Stage, Btm, Bangalore, Bengaluru",Uncle's Kitchen,No,No,3.3,5,BTM,Quick Bites,Not available,"North Indian, Chinese, Fast Food",450,Average Experience,Delivery,Indiranagar
"39, 4Th Cross, 1St Main, Maruthi Nagar, Madivala, Btm, Bangalore",Combo Box,No,No,3,15,BTM,"Takeaway, Delivery",Not available,"North Indian, Biryani, Chinese",500,Average Experience,Delivery,Indiranagar
"76, Hosur Main Road, Madawala, Btm, Bangalore",What the Food,No,No,3.6,38,BTM,Quick Bites,Not available,"North Indian, Chinese, Fast Food",250,Good Food and Service,Delivery,Indiranagar
"20Th B Main, Marathinagar Main Road, Madiwala, Btm, Bangalore",Around The Corner,No,No,3.6,22,BTM,Quick Bites,Not available,"North Indian, Chinese, Fast Food",350,Good Food and Service,Delivery,Thippasandra
"24, 4Th Main 2Nd Cross, Krishna Murthi Layout, Suddagunte Palya, Btm, Bangalore",sCoolMeal,No,No,0,0,BTM,"Takeaway, Delivery",Not available,"North Indian, South Indian, Chinese, Pizza",300,Needs Improvement,Delivery,Jeevan Bhima Nagar
"1-2, Brindavan Nagar, Opposite M.N.P Residency, Tavarekere, Ramappa Layout, 1St Stage, Btm, Bangalore",Tandoor Hub & Golmaal Paratha,No,No,3.2,4,BTM,Quick Bites,Not available,North Indian,450,Average Experience,Delivery,Domlur
"37, 1St Main, 1St Cross Road, Near Lakshmi Theatre, Narayanappa Garden, Tavarekere, Btm, Bengalore",So-Fat's Dosas,No,No,3.8,43,BTM,Quick Bites,Bhaji Dosa,South Indian,200,Good Food and Service,Delivery,Indiranagar
"14, Krishnanagara Industrial Area, Next To Christ College, Btm, Bangalore",Singh Da Dhaba,No,No,3.3,5,BTM,Quick Bites,Not available,North Indian,400,Average Experience,Delivery,Indiranagar
"489, 29Th Main, 9Th Cross, 2Nd Stage, Btm, Bangalore",Two States,No,No,3.4,5,BTM,Quick Bites,Not available,"North Indian, South Indian, Chinese, Street Food",250,Average Experience,Delivery,Indiranagar
"104/1, Near Laxmi Theatre, Gopal Reddy Building, Tavarekere Main Road",SoopeRolls,No,No,3.5,11,BTM,"Takeaway, Delivery",Not available,"Fast Food, Rolls",250,Good Food and Service,Delivery,Indiranagar
"100, 8Th Cross Road, 1St Stage, Btm, Bangalore",BongHomie,No,No,3.4,10,BTM,"Takeaway, Delivery",Not available,"Bengali, North Indian",300,Average Experience,Delivery,Indiranagar
"39 Bhuvanappa Layout, Tavarekere Main Road, Btm, Bangalore",Adithya Family Restaurant,No,No,3.7,27,BTM,Quick Bites,Not available,South Indian,250,Good Food and Service,Delivery,Indiranagar
"33/1, 1St A Cross Road, Cashier Layout, 1St Stage, Btm, Bangalore",Ambur Biriyani Point,No,No,3.6,26,BTM,Quick Bites,Not available,Biryani,150,Good Food and Service,Delivery,Indiranagar
"128/3, Ns Palya, Behind Shoppers' Stop, Btm Layout, Bangalore, Btm, Bangalore",Gobi Gate,No,No,3.2,8,BTM,Quick Bites,Not available,Chinese,200,Average Experience,Delivery,Indiranagar
"14, 10Th Cross, Christ School Road, Sg Palya, Drc Post",Parivaar,No,No,3.3,7,BTM,Delivery,Not available,"Biryani, North Indian, Chinese",600,Average Experience,Delivery,Indiranagar
"9Th A Main Road, Behind Hdfc Bank,1St Stage, Btm, Bangalore",Alechemy,No,No,0,0,BTM,Casual Dining,Not available,North Indian,1500,Needs Improvement,Delivery,Indiranagar
"402, 3Rd Cross, 23Rd Main, 2Nd Stage, Btm, Bangalore",Malnad Military Hotel,No,No,0,0,BTM,Quick Bites,Not available,"South Indian, Chinese",350,Needs Improvement,Delivery,Indiranagar
"269, 6Th Main Road, 2Nd Stage, Btm, Bangalore",SM Fast Food,No,No,0,0,BTM,Quick Bites,Not available,"South Indian, North Indian",300,Needs Improvement,Delivery,Indiranagar
"2Nd Cross, Maruthi Nager, Btm, Bangalore",Royal Hyderabadi Nights,No,No,0,0,BTM,"Takeaway, Delivery",Not available,Hyderabadi,400,Needs Improvement,Delivery,Indiranagar
"1214, 8Th Main, 1St Stage, Btm, Bangalore",D Italy,No,No,0,0,BTM,"Takeaway, Delivery",Not available,Italian,500,Needs Improvement,Delivery,Indiranagar
"12, 100 Feet Road, 1St Stage, Btm, Bangalore",Hungry Nights,No,No,3,54,BTM,"Takeaway, Delivery",Not available,"Chinese, North Indian",300,Average Experience,Delivery,Indiranagar
"28/2, 7Th Main, Ns Palya, Btm 2Nd Stage, Btm, Bangalore",Shater Grill House,No,No,3.5,8,BTM,Casual Dining,Not available,"North Indian, Arabian, Chinese",700,Good Food and Service,Delivery,Indiranagar
"16, Vp Road, Near Sandhya Theatre, Old Madiwala, Btm, Bangalore",Pizza D Italy,No,No,3.5,14,BTM,Delivery,Not available,Italian,500,Good Food and Service,Delivery,Indiranagar
"Munireddy Layout, Btm 1St Stage, Maruthi Nagar, Btm, Bangalore",Amara Food Point,No,No,3.3,4,BTM,"Takeaway, Delivery",Not available,South Indian,250,Average Experience,Delivery,Indiranagar
"14A, 1St Cross, 17Th Main Road, Btm Layout 1, Bangalore",Night Bell,No,No,3.1,53,South Bangalore,Delivery,"Burgers, Murgh Malai, Oreo Shake","Fast Food, North Indian",450,Average Experience,Delivery,Old Airport Road
"46 ,3Rd Cross, Madiwala, Btm, Bangalore",Ruchi's Foodies Blast,No,No,0,0,BTM,"Takeaway, Delivery",Not available,"Chinese, North Indian",250,Needs Improvement,Delivery,Old Airport Road
"Near Forum Mall Signal, Tavarekere Main Road, Btm, Bangalore",Eaternet,No,No,3.6,24,BTM,Quick Bites,Not available,"North Indian, Chinese, Street Food",300,Good Food and Service,Delivery,Jayanagar
"28Th, 8Th Cross, Maruthi Nagar, Madiwala, Btm, Bangalore, Bengaluru",NY8LIFE,No,No,3.2,4,BTM,Delivery,Not available,"North Indian, Rolls, Biryani",300,Average Experience,Delivery,Jayanagar
"13, Shree Shakthi Mansion, 1St Main Road,Old Post Office Road, Maruti Nagar, Madiwala, Btm, Bangalore",Shangai Sun,No,No,3.4,12,BTM,"Takeaway, Delivery",Not available,"Asian, Chinese",500,Average Experience,Delivery,JP Nagar
"15, 16Th Main Road, Keb Layout, Narayan Gowda Layout, 2Nd Stage, Btm, Bangalore",My Dabeli & My Pizza,No,No,3.4,5,BTM,Quick Bites,Not available,"Pizza, Burger",400,Average Experience,Delivery,JP Nagar
"2/1-4 Tavarakere Main Road, Opposite Oracle Bangalore, Btm, Bangalore",Asia In A Box,Yes,No,3.2,5,Koramangala 1st Block,"Takeaway, Delivery",Not available,"Thai, Asian",550,Average Experience,Delivery,Bannerghatta Road
"62, 8Th Main, 1St Stage, Btm, Bangalore",Imperial Restaurant,Yes,No,3.6,241,Koramangala 6th Block,Casual Dining,"Chicken Grill, Ghee Rice, Chicken Butter Masala, Mutton Biryani, Tandoori Chicken, Chicken Kebab, Naan","Seafood, Biryani, South Indian, Chettinad, Chinese, Arabian, Andhra, Kerala",800,Good Food and Service,Delivery,JP Nagar
"63, Opposite St John?S Wood Apartment & Oracle Prestige Lexington, Cauvery Layout, Tavarekere, Btm, Bangalore",Mongolian Kitchen,No,No,3.8,30,BTM,Quick Bites,Not available,"Chinese, Mongolian",500,Good Food and Service,Delivery,Kumaraswamy Layout
"Thavrekera Main Road, Near Health India Hospital, Rmv Shelder, Btm, Bangalore",Chef All Nite,Yes,No,3.9,464,BTM,Other,"Paneer Manchurian, Gulab Jamun, Noodles, Chicken Noodle, Butter Chicken, Vegetable Biryani","Chinese, North Indian",300,Good Food and Service,Delivery,JP Nagar
"2Nd Stage, 10Th Cross, 16Th Main, Opposite Mico Layout Police Station, Btm, Bangalore",Lassi Top,Yes,No,3.2,7,Koramangala 4th Block,Beverage Shop,Not available,"Beverages, Ice Cream",200,Average Experience,Delivery,Kanakapura Road
"68, 7Th Main Road, N S Palya, Stage 2, Btm Layout, Bangalore",The Hidden Cafe,Yes,No,3.9,95,Koramangala 1st Block,Quick Bites,"Hyderabadi Biryani, Ginger Chicken","North Indian, Fast Food",350,Good Food and Service,Delivery,JP Nagar
"6, Z1 Construction Building, 5Th Floor, Next To Sapna Book House, 20Th Main Road, Koramangala 7Th Block, Bangalore",Momo Junction,Yes,No,3.8,30,BTM,Takeaway,Not available,"Fast Food, Momos",100,Good Food and Service,Delivery,JP Nagar
"4Th B Cross, Koramangala 5Th Block, Bangalore",The Shawarma Inc,Yes,No,3.3,94,Koramangala 5th Block,Quick Bites,"Whole Meat Shawarma, Jumbo Shawarma, Spicy Shawarma, Momos","Arabian, Fast Food",200,Average Experience,Delivery,Bannerghatta Road
"17Th Main Road, Jnc Road, Koramangala 5Th Block, Bangalore",Cashmere Nites,Yes,No,3.5,74,Koramangala 6th Block,Casual Dining,"Firni, Roganjosh, Phirni, Tabakh Maaz, Wings",Kashmiri,600,Good Food and Service,Delivery,Kalyan Nagar
"5Th Floor, 6Th Block, Elite Building, Industrial Layout, Jyoti Nivas College Road, Koramangala 5Th Block, Bangalore",Night Hawks,Yes,No,0,0,HSR,Quick Bites,Not available,"Biryani, Fast Food, North Indian, Chinese",400,Needs Improvement,Delivery,Kalyan Nagar
"115, 3Rd Floor, Opposite Raheja Arcade, Koramangala 7Th Block, Bangalore",Some Mo',Yes,No,0,0,Koramangala 6th Block,Food Court,Not available,"Momos, Fast Food",200,Needs Improvement,Delivery,Kalyan Nagar
"66, Ground Floor, Jnc Road, Koramangala 5Th Block, Bangalore",Appam & Curry,Yes,No,3.8,18,Koramangala 1st Block,Quick Bites,Not available,"Kerala, South Indian",200,Good Food and Service,Delivery,Kalyan Nagar
"Shop 44, 4Th B Cross Road, Koramangala 5Th Block, Bangalore",Nutrition on Wheels,No,No,2.9,23,BTM,"Takeaway, Delivery",Not available,Healthy Food,300,Average Experience,Delivery,Kalyan Nagar
"12, 17Th Main, 1St Cross, 5Th A Block, Koramangala 5Th Block, Bangalore",Hungry Queen,Yes,No,3.3,21,HSR,"Takeaway, Delivery",Not available,"North Indian, Chinese, Fast Food",300,Average Experience,Delivery,Hennur
"104, 3Rd Floor, 1St Main, 5Th Block, Jatti Building, Koramangala 5Th Block, Bangalore",Grill N Chill,No,No,3.1,17,BTM,Quick Bites,Not available,"North Indian, Chinese",400,Average Experience,Delivery,Kalyan Nagar
"413, 100 Feet Road, Next E-Zone, Koramangala 4Th Block, Bangalore",Hotel Archana Grand,Yes,No,3.5,22,Bommanahalli,Quick Bites,Not available,"Chinese, North Indian",500,Good Food and Service,Delivery,Nagawara
"2Nd Floor, 1St A Cross Road, Jyothi Nivas College Road, Koramangala 5Th Block, Bangalore",Chakh Le india,Yes,No,3.2,6,Bommanahalli,Quick Bites,Not available,"North Indian, Chinese",250,Average Experience,Delivery,Banaswadi
"105, 3Rd Floor, 1St A Cross Road, Jyothi Nivas College Road, Koramangala 5Th Block, Bangalore",2nd Home Restaurant,Yes,No,3.7,21,BTM,Quick Bites,Not available,"South Indian, North Indian, Chinese",500,Good Food and Service,Delivery,Hennur
"413, 100 Feet Road, Koramangala 4Th Block, Bangalore",Hello Brother Hotel,No,No,3.4,6,HSR,Quick Bites,Not available,"North Indian, Chinese",300,Average Experience,Delivery,Hennur
"20, 1St Floor, 1St Cross, 5Th A Block, Jnc Road, Koramangala 5Th Block, Bangalore",Wakeup Cafe,Yes,No,3.4,9,HSR,Quick Bites,Not available,"Fast Food, Beverages",300,Average Experience,Delivery,Kammanahalli
"53/1, 2, 4Th Floor, Sv Arcade, Bilekahalli, Bannerghatta Road, Bangalore",Kallummakkaya,Yes,No,0,0,BTM,Quick Bites,Not available,"South Indian, North Indian",200,Needs Improvement,Delivery,Nagawara
"Opposite Jayadeva Hospital, 9Th Block, Off Bannerghatta Road, Jayanagar, Bangalore",Chill-Um Cafe,Yes,Yes,4.1,151,Koramangala 6th Block,Quick Bites,"Peri Peri Chicken, Fries, Lemongrass Chicken, Margherita Pizza","Cafe, Chinese, Continental",600,Very Good Service,Delivery,Rammurthy Nagar
"1313, Near Bangalore Central Mall, 25Th Main, 9Th Block, Jayanagar, Bangalore",Abhiruchi,Yes,No,2.9,36,HSR,"Takeaway, Delivery",Not available,"Andhra, Chinese, Biryani",400,Average Experience,Delivery,Kalyan Nagar
"1, Raheja Arcade, Koramangala 7Th Block, Bangalore",Tentacles,Yes,No,0,0,BTM,"Takeaway, Delivery",Not available,"North Indian, Chinese, Seafood",600,Needs Improvement,Delivery,Kammanahalli
"25, 1St Floor, 5Th Cross, Koramangala 5Th Block, Bangalore",Cafemoto,Yes,No,4,201,Koramangala 5th Block,Cafe,"Burgers, Chicken Burger, Beef Burger, Mojito, Tea, French Fries, White Sauce Pasta","Cafe, Continental, Italian, Burger",800,Very Good Service,Delivery,Kalyan Nagar
"1304, Ground Floor, 9Th Cross, 20Th Main, Jp Nagar, Bangalore",Kapoor's Biriyani,Yes,No,3.3,334,BTM,Quick Bites,"Raita, Hyderabadi Biryani","Biryani, North Indian",400,Average Experience,Delivery,Kalyan Nagar
"104, 5Th Floor, Industrial Area, Koramangala 5Th Block, Bangalore",Kokomo,Yes,No,4,193,Koramangala 6th Block,Delivery,"Thai Chicken, Momos","Thai, Chinese",500,Very Good Service,Delivery,Nagawara
"147/D, 8Th Main Road, 3Rd Block, Koramangala 3Rd Block, Bangalore",Keep It Straight Cafe,Yes,Yes,3.9,202,HSR,Cafe,"Coffee, Tea, Pasta Alfredo, Chai, Burgers, White Sauce Pasta, French Fries","Cafe, North Indian, Fast Food",500,Good Food and Service,Delivery,Kalyan Nagar
"115, First Floor, Opposite Raheja Arcade, Koramangala 7Th Block, Bangalore",Sethi's,Yes,No,0,0,HSR,Delivery,Not available,"North Indian, Chinese, BBQ",600,Needs Improvement,Delivery,Kalyan Nagar
"129, 5Th Block, Khb Colony, Koramangala 5Th Block, Bangalore",Rollin,Yes,No,4.1,209,Koramangala 4th Block,Quick Bites,"Pizza, Dragon Chicken, Butter Chicken, Noodles, Chicken Wings, Chicken Noodle","Continental, Pizza, Chinese",400,Very Good Service,Delivery,Kammanahalli
"88, Kk Centre, Jyoti Nivas College Road, Koramangala 5Th Block, Bangalore",Donne Biriyani House,Yes,No,3.8,278,HSR,Quick Bites,"Rice, Donne Biryani, Mutton Biryani, Chicken Kebab, Chilli Chicken, Chicken Biryani, Kshatriya Kebab",Biryani,200,Good Food and Service,Delivery,HBR Layout
"99, Ground Floor, 4Th B Cross, 1St Main Road, Koramangala 5Th Block, Bangalore",Smiley's Kitchen,Yes,No,0,0,Koramangala 1st Block,"Takeaway, Delivery",Not available,"North Indian, Fast Food",450,Needs Improvement,Delivery,Banaswadi
